epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,334.414,0.78269,0.43102,0.94605,0.99729,0.96667,0.97329,0.74975,0.96597,0.42008,1.04198,0.00150747,0.00150747,0.00150747
60,340.101,0.81543,0.45508,0.9644,0.99472,0.96667,0.97144,0.76226,0.90092,0.38724,1.05555,0.00150472,0.00150472,0.00150472
61,345.72,0.77333,0.44023,0.94982,0.99619,0.96667,0.97467,0.78388,0.87774,0.39687,0.99657,0.00150197,0.00150197,0.00150197
62,351.316,0.76028,0.43708,0.93613,0.99367,0.96667,0.97635,0.802,0.8579,0.40782,0.99385,0.00149922,0.00149922,0.00149922
63,356.992,0.76789,0.44229,0.94763,0.9969,0.96667,0.97544,0.8096,0.80205,0.42047,0.9731,0.00149647,0.00149647,0.00149647
64,362.795,0.76981,0.44117,0.94325,0.99707,0.96667,0.97205,0.79832,0.84216,0.40324,1.00219,0.00149372,0.00149372,0.00149372
65,368.283,0.76316,0.43144,0.93249,0.99744,0.96667,0.97565,0.76902,0.88695,0.40246,1.03962,0.00149096,0.00149096,0.00149096
66,373.785,0.77386,0.43938,0.93911,0.99723,0.96667,0.97504,0.78308,0.85986,0.38203,1.0238,0.00148821,0.00148821,0.00148821
67,379.403,0.7488,0.4237,0.92978,0.99711,0.96667,0.97524,0.79606,0.85202,0.38811,1.00303,0.00148546,0.00148546,0.00148546
68,385.171,0.73948,0.42096,0.92808,0.99722,0.96667,0.97385,0.77109,0.839,0.34244,1.02481,0.00148271,0.00148271,0.00148271
69,390.693,0.75562,0.44291,0.93878,0.99596,0.96667,0.97485,0.78139,0.9054,0.37193,1.04075,0.00147996,0.00147996,0.00147996
70,396.269,0.76334,0.44777,0.9331,0.99635,0.96667,0.97587,0.78175,0.83595,0.33875,1.00931,0.00147721,0.00147721,0.00147721
71,401.921,0.77769,0.44724,0.93606,0.99468,0.96667,0.9695,0.77716,0.79671,0.37725,0.96855,0.00147446,0.00147446,0.00147446
72,407.611,0.72404,0.43677,0.92258,0.98743,0.96667,0.97093,0.79017,0.79109,0.3876,0.9587,0.00147171,0.00147171,0.00147171
73,413.424,0.75343,0.43423,0.94028,0.99526,0.96667,0.97342,0.79662,0.81759,0.39032,0.96574,0.00146896,0.00146896,0.00146896
74,419.018,0.78306,0.45074,0.94157,0.99418,0.96667,0.97144,0.77133,0.89863,0.40575,1.00089,0.00146621,0.00146621,0.00146621
75,424.707,0.69612,0.41313,0.90536,0.99114,0.96667,0.97342,0.77367,0.88366,0.39138,1.02693,0.00146346,0.00146346,0.00146346
76,430.443,0.72268,0.41419,0.918,0.98801,0.96667,0.97342,0.77031,0.8945,0.39622,1.04595,0.00146071,0.00146071,0.00146071
77,436.143,0.73356,0.42366,0.91544,0.99091,0.96667,0.97587,0.77376,0.89555,0.37015,1.05609,0.00145796,0.00145796,0.00145796
78,441.809,0.69954,0.40156,0.91232,0.99518,0.96667,0.97467,0.78568,0.88007,0.36814,1.04798,0.00145521,0.00145521,0.00145521
79,447.371,0.74339,0.43357,0.92451,0.99513,0.96667,0.97114,0.7671,0.90737,0.36922,1.05234,0.00145246,0.00145246,0.00145246
80,452.975,0.72172,0.42659,0.91231,0.99231,0.96667,0.97215,0.77947,0.84989,0.37889,1.01027,0.00144971,0.00144971,0.00144971
81,458.502,0.74586,0.40918,0.91613,0.99256,0.96667,0.97246,0.76309,0.8817,0.36246,1.03495,0.00144696,0.00144696,0.00144696
82,463.983,0.72623,0.41923,0.92683,0.99361,0.96667,0.97279,0.75554,0.87048,0.39661,1.02016,0.00144421,0.00144421,0.00144421
83,469.558,0.73824,0.42521,0.92554,0.99369,0.96667,0.97169,0.7673,0.87148,0.37945,1.03599,0.00144145,0.00144145,0.00144145
84,475.365,0.70535,0.41571,0.91483,0.99583,0.96667,0.97268,0.77704,0.87114,0.37418,1.0113,0.0014387,0.0014387,0.0014387
85,480.884,0.69438,0.40528,0.91686,0.99666,0.96667,0.97432,0.78422,0.85316,0.35588,1.013,0.00143595,0.00143595,0.00143595
