epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,412.237,0.48214,0.30535,0.83526,0.99763,1,0.995,0.81367,0.80197,0.29225,0.99334,0.00451415,0.00150472,0.00451415,0.00150472,0.00451415,0.00150472,0.00451415,0.00150472
61,418.105,0.49152,0.3021,0.85071,0.99798,1,0.995,0.81141,0.81703,0.2995,1.00645,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
62,424.062,0.49699,0.29954,0.85508,0.99813,1,0.995,0.81229,0.84263,0.30419,1.01396,0.00449765,0.00149922,0.00449765,0.00149922,0.00449765,0.00149922,0.00449765,0.00149922
63,429.986,0.47452,0.29605,0.8348,0.99797,1,0.995,0.80552,0.83959,0.30824,1.01342,0.0044894,0.00149647,0.0044894,0.00149647,0.0044894,0.00149647,0.0044894,0.00149647
64,436.669,0.48606,0.29566,0.84431,0.99797,1,0.995,0.79287,0.84378,0.3406,1.01777,0.00448115,0.00149372,0.00448115,0.00149372,0.00448115,0.00149372,0.00448115,0.00149372
65,442.681,0.48228,0.29477,0.84564,0.99762,1,0.995,0.81992,0.81081,0.32854,0.99399,0.00447289,0.00149096,0.00447289,0.00149096,0.00447289,0.00149096,0.00447289,0.00149096
66,448.807,0.48559,0.29458,0.83663,0.99754,1,0.995,0.84186,0.79201,0.3142,0.98462,0.00446464,0.00148821,0.00446464,0.00148821,0.00446464,0.00148821,0.00446464,0.00148821
67,455.397,0.47336,0.28314,0.83762,0.99733,1,0.995,0.80348,0.81072,0.30532,0.98413,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
68,462.069,0.49628,0.30509,0.85896,0.9974,1,0.995,0.82249,0.77759,0.31177,0.97139,0.00444814,0.00148271,0.00444814,0.00148271,0.00444814,0.00148271,0.00444814,0.00148271
69,467.89,0.48246,0.28857,0.84429,0.99732,1,0.995,0.79808,0.83762,0.34967,0.98269,0.00443989,0.00147996,0.00443989,0.00147996,0.00443989,0.00147996,0.00443989,0.00147996
70,474.025,0.49347,0.29132,0.85372,0.99742,1,0.995,0.81929,0.84612,0.38415,0.98349,0.00443164,0.00147721,0.00443164,0.00147721,0.00443164,0.00147721,0.00443164,0.00147721
71,479.949,0.46555,0.28502,0.83928,0.99813,1,0.995,0.81573,0.83566,0.32207,0.98222,0.00442338,0.00147446,0.00442338,0.00147446,0.00442338,0.00147446,0.00442338,0.00147446
72,486.706,0.4745,0.28275,0.85264,0.99795,1,0.995,0.83707,0.7964,0.32247,0.98056,0.00441513,0.00147171,0.00441513,0.00147171,0.00441513,0.00147171,0.00441513,0.00147171
73,492.883,0.48048,0.29676,0.83519,0.99804,1,0.995,0.83357,0.78979,0.3047,0.9836,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
74,499.003,0.46999,0.27921,0.84566,0.99807,1,0.995,0.81828,0.83811,0.31505,1.00152,0.00439863,0.00146621,0.00439863,0.00146621,0.00439863,0.00146621,0.00439863,0.00146621
75,504.972,0.47172,0.28147,0.85036,0.99797,1,0.995,0.80794,0.82109,0.30522,1.00335,0.00439038,0.00146346,0.00439038,0.00146346,0.00439038,0.00146346,0.00439038,0.00146346
76,511.42,0.45944,0.27257,0.82991,0.99808,1,0.995,0.81279,0.83187,0.30032,0.99926,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071,0.00438213,0.00146071
77,517.401,0.46539,0.27586,0.84302,0.99794,1,0.995,0.83342,0.82575,0.29305,0.99348,0.00437387,0.00145796,0.00437387,0.00145796,0.00437387,0.00145796,0.00437387,0.00145796
78,523.562,0.47682,0.29367,0.83272,0.99801,1,0.995,0.80925,0.83736,0.30516,0.99911,0.00436562,0.00145521,0.00436562,0.00145521,0.00436562,0.00145521,0.00436562,0.00145521
79,529.314,0.46417,0.28048,0.83291,0.99812,1,0.995,0.82823,0.85271,0.2975,0.99814,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
80,535.893,0.45859,0.28719,0.82971,0.99813,1,0.995,0.80053,0.87121,0.29646,0.99468,0.00434912,0.00144971,0.00434912,0.00144971,0.00434912,0.00144971,0.00434912,0.00144971
81,542.029,0.44386,0.27884,0.84859,0.99787,1,0.995,0.82781,0.85451,0.3172,0.98505,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696
82,548.024,0.4529,0.27967,0.84811,0.99798,1,0.995,0.8045,0.85869,0.33236,0.99297,0.00433262,0.00144421,0.00433262,0.00144421,0.00433262,0.00144421,0.00433262,0.00144421
83,554.088,0.44559,0.26877,0.82483,0.99797,1,0.995,0.82669,0.82351,0.30469,0.9843,0.00432436,0.00144145,0.00432436,0.00144145,0.00432436,0.00144145,0.00432436,0.00144145
84,560.591,0.46164,0.28005,0.84226,0.99813,1,0.995,0.82523,0.82287,0.31827,0.99398,0.00431611,0.0014387,0.00431611,0.0014387,0.00431611,0.0014387,0.00431611,0.0014387
85,566.788,0.45023,0.27697,0.83388,0.99807,1,0.995,0.80385,0.83986,0.31245,1.00448,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
86,572.685,0.44162,0.27576,0.83592,0.99811,1,0.995,0.83552,0.83265,0.30407,1.00615,0.00429961,0.0014332,0.00429961,0.0014332,0.00429961,0.0014332,0.00429961,0.0014332
87,578.407,0.4559,0.28578,0.8483,0.99816,1,0.995,0.82418,0.81939,0.33378,1.00827,0.00429136,0.00143045,0.00429136,0.00143045,0.00429136,0.00143045,0.00429136,0.00143045
88,584.911,0.42557,0.27083,0.82908,0.99823,1,0.995,0.81755,0.81845,0.31703,1.00181,0.00428311,0.0014277,0.00428311,0.0014277,0.00428311,0.0014277,0.00428311,0.0014277
89,590.943,0.4327,0.27071,0.8325,0.99823,1,0.995,0.83654,0.80048,0.29523,0.99565,0.00427485,0.00142495,0.00427485,0.00142495,0.00427485,0.00142495,0.00427485,0.00142495
90,596.575,0.43057,0.2691,0.84269,0.99815,1,0.995,0.82833,0.8261,0.30239,1.00334,0.0042666,0.0014222,0.0042666,0.0014222,0.0042666,0.0014222,0.0042666,0.0014222
91,602.568,0.45188,0.28211,0.83892,0.99772,1,0.995,0.82334,0.87628,0.31263,1.01821,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
92,609.239,0.42516,0.26319,0.83376,0.99725,1,0.995,0.80324,0.8952,0.32814,1.03476,0.0042501,0.0014167,0.0042501,0.0014167,0.0042501,0.0014167,0.0042501,0.0014167
93,614.908,0.44682,0.27273,0.84692,0.99617,1,0.995,0.78553,0.89748,0.31997,1.03645,0.00424185,0.00141395,0.00424185,0.00141395,0.00424185,0.00141395,0.00424185,0.00141395
94,620.68,0.41701,0.25819,0.8199,0.99742,1,0.995,0.80292,0.87204,0.3128,1.02796,0.0042336,0.0014112,0.0042336,0.0014112,0.0042336,0.0014112,0.0042336,0.0014112
95,626.676,0.4516,0.2761,0.83585,0.99689,1,0.995,0.7833,0.87363,0.31176,1.03316,0.00422534,0.00140845,0.00422534,0.00140845,0.00422534,0.00140845,0.00422534,0.00140845
96,632.958,0.42494,0.25867,0.83832,0.99762,1,0.995,0.79273,0.8758,0.31568,1.03055,0.00421709,0.0014057,0.00421709,0.0014057,0.00421709,0.0014057,0.00421709,0.0014057
97,638.846,0.44102,0.26767,0.83945,0.99715,1,0.995,0.79844,0.87949,0.32496,1.02351,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
98,644.57,0.44425,0.26574,0.83986,0.99784,1,0.995,0.80114,0.85924,0.32155,1.02256,0.00420059,0.0014002,0.00420059,0.0014002,0.00420059,0.0014002,0.00420059,0.0014002
99,650.384,0.43072,0.25605,0.83091,0.99812,1,0.995,0.80828,0.86934,0.31805,1.02625,0.00419234,0.00139745,0.00419234,0.00139745,0.00419234,0.00139745,0.00419234,0.00139745
100,657.277,0.43869,0.26764,0.84237,0.99816,1,0.995,0.80208,0.85768,0.31209,1.02538,0.00418409,0.0013947,0.00418409,0.0013947,0.00418409,0.0013947,0.00418409,0.0013947
101,663.381,0.42288,0.25712,0.82507,0.9982,1,0.995,0.80867,0.85909,0.31659,1.03007,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195
102,669.358,0.42827,0.26284,0.83715,0.99824,1,0.995,0.81954,0.86197,0.32339,1.02876,0.00416758,0.00138919,0.00416758,0.00138919,0.00416758,0.00138919,0.00416758,0.00138919
103,675.375,0.42369,0.2595,0.81899,0.99827,1,0.995,0.80886,0.85307,0.32779,1.01986,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
104,682.154,0.42376,0.26362,0.83125,1,1,0.995,0.81542,0.83871,0.32021,1.01306,0.00415108,0.00138369,0.00415108,0.00138369,0.00415108,0.00138369,0.00415108,0.00138369
105,687.959,0.40643,0.25623,0.82421,0.99808,1,0.995,0.8108,0.86486,0.32164,1.0187,0.00414283,0.00138094,0.00414283,0.00138094,0.00414283,0.00138094,0.00414283,0.00138094
106,693.842,0.41599,0.26242,0.82495,0.99814,1,0.995,0.80374,0.84191,0.32468,1.01328,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819
107,700.087,0.43176,0.26752,0.82679,0.99819,1,0.995,0.81408,0.86442,0.33093,1.0231,0.00412633,0.00137544,0.00412633,0.00137544,0.00412633,0.00137544,0.00412633,0.00137544
108,706.688,0.41359,0.25699,0.82608,0.99819,1,0.995,0.81512,0.85805,0.31119,1.02242,0.00411807,0.00137269,0.00411807,0.00137269,0.00411807,0.00137269,0.00411807,0.00137269
109,712.51,0.43453,0.26624,0.82324,1,1,0.995,0.82264,0.86298,0.31732,1.03234,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
110,718.526,0.45237,0.27723,0.83442,0.99816,1,0.995,0.82541,0.85768,0.29025,1.03519,0.00410157,0.00136719,0.00410157,0.00136719,0.00410157,0.00136719,0.00410157,0.00136719
111,724.542,0.4334,0.26384,0.83696,1,1,0.995,0.82776,0.86047,0.28959,1.03182,0.00409332,0.00136444,0.00409332,0.00136444,0.00409332,0.00136444,0.00409332,0.00136444
