                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.71238,                0.45283,                 1.1682,                0.97632,                      1,                  0.995,                0.69549,                 1.0022,                0.54587,                 1.3623,              0.0011471,              0.0011471,              0.0011471
                     65,                0.71727,                0.47122,                  1.175,                0.98079,                      1,                  0.995,                0.68552,                  1.065,                 0.5515,                 1.3854,              0.0011389,              0.0011389,              0.0011389
                     66,                0.66829,                0.44419,                 1.1368,                0.97256,                      1,                  0.995,                 0.7193,                0.98991,                0.51733,                 1.3336,              0.0011306,              0.0011306,              0.0011306
                     67,                0.68252,                0.42003,                  1.135,                0.97196,                      1,                  0.995,                0.73519,                0.92852,                0.50865,                 1.3074,              0.0011224,              0.0011224,              0.0011224
                     68,                0.72183,                0.46341,                 1.1574,                0.97583,                      1,                  0.995,                0.74229,                0.91491,                0.52176,                 1.3527,              0.0011141,              0.0011141,              0.0011141
                     69,                0.68259,                0.43745,                  1.136,                0.97732,                      1,                  0.995,                0.69623,                0.96074,                0.52296,                 1.3713,              0.0011059,              0.0011059,              0.0011059
                     70,                 0.6941,                0.42998,                 1.1469,                0.97688,                      1,                  0.995,                0.69513,                0.99208,                0.51343,                 1.3878,              0.0010976,              0.0010976,              0.0010976
                     71,                0.70207,                0.43889,                 1.1556,                0.97642,                      1,                  0.995,                0.72926,                0.92091,                0.49144,                 1.3311,              0.0010894,              0.0010894,              0.0010894
                     72,                0.67699,                0.43298,                 1.1492,                0.97542,                      1,                  0.995,                0.73389,                 1.0123,                0.57951,                 1.4211,              0.0010811,              0.0010811,              0.0010811
                     73,                0.73404,                0.47112,                  1.161,                0.97414,                      1,                  0.995,                0.72439,                 1.0513,                0.57514,                 1.4501,              0.0010729,              0.0010729,              0.0010729
                     74,                0.69613,                0.42259,                 1.1431,                0.97509,                      1,                  0.995,                0.71591,                0.97903,                0.52145,                 1.4055,              0.0010646,              0.0010646,              0.0010646
                     75,                0.65534,                0.44259,                 1.1552,                0.97351,                      1,                  0.995,                0.71834,                0.98561,                0.49598,                 1.4244,              0.0010564,              0.0010564,              0.0010564
                     76,                0.68748,                0.42582,                 1.1355,                 0.9716,                      1,                  0.995,                0.73517,                0.99797,                0.46907,                 1.4384,              0.0010481,              0.0010481,              0.0010481
                     77,                0.67343,                0.41952,                 1.1102,                0.97269,                      1,                  0.995,                0.74677,                0.94062,                0.46458,                 1.3764,              0.0010399,              0.0010399,              0.0010399
                     78,                 0.6999,                0.42286,                  1.162,                0.97906,                      1,                  0.995,                0.74904,                0.99842,                0.54244,                 1.4129,              0.0010316,              0.0010316,              0.0010316
                     79,                0.71696,                0.43701,                 1.1806,                0.97869,                      1,                  0.995,                 0.7446,                 1.0116,                0.54522,                 1.3958,              0.0010234,              0.0010234,              0.0010234
                     80,                0.66941,                0.41837,                 1.1122,                0.97624,                      1,                  0.995,                0.70203,                 1.1049,                0.55346,                 1.5016,              0.0010151,              0.0010151,              0.0010151
                     81,                0.66868,                0.42644,                 1.1221,                0.97252,                      1,                  0.995,                0.69035,                 1.0948,                0.53093,                 1.5486,              0.0010069,              0.0010069,              0.0010069
                     82,                0.67816,                0.41529,                 1.1333,                0.97139,                      1,                  0.995,                0.71238,                  1.011,                0.56212,                 1.4819,             0.00099862,             0.00099862,             0.00099862
                     83,                0.68305,                0.42653,                 1.1318,                0.97131,                      1,                  0.995,                0.71079,                0.99702,                0.54403,                  1.421,             0.00099036,             0.00099036,             0.00099036
                     84,                0.69111,                0.43433,                 1.1436,                0.96988,                      1,                  0.995,                0.68722,                 1.0437,                0.51626,                 1.4246,             0.00098211,             0.00098211,             0.00098211
                     85,                0.64916,                0.41291,                 1.1154,                 0.9719,                      1,                  0.995,                0.69911,                 1.0226,                0.52901,                 1.4269,             0.00097386,             0.00097386,             0.00097386
                     86,                0.65895,                 0.4092,                 1.0968,                0.96942,                      1,                  0.995,                0.75549,                0.96586,                0.50016,                 1.4169,             0.00096561,             0.00096561,             0.00096561
                     87,                0.63683,                0.41269,                 1.1344,                0.97059,                      1,                  0.995,                0.74107,                0.91465,                0.46596,                 1.3558,             0.00095736,             0.00095736,             0.00095736
                     88,                0.66673,                0.40683,                 1.1331,                0.97653,                      1,                  0.995,                0.72757,                0.96283,                0.47446,                 1.3362,             0.00094911,             0.00094911,             0.00094911
                     89,                0.67819,                0.43662,                 1.1388,                0.97658,                      1,                  0.995,                0.70725,                0.96023,                0.49123,                 1.3539,             0.00094085,             0.00094085,             0.00094085
                     90,                0.65861,                0.40472,                 1.1252,                0.97615,                      1,                  0.995,                0.75827,                0.87048,                0.49664,                 1.3456,              0.0009326,              0.0009326,              0.0009326
                     91,                0.66279,                0.40344,                   1.12,                0.97472,                0.99748,                  0.995,                 0.7671,                  0.862,                0.48861,                 1.3486,             0.00092435,             0.00092435,             0.00092435
                     92,                0.67067,                0.42605,                 1.1413,                0.97717,                0.99777,                  0.995,                0.73983,                0.93001,                 0.5161,                 1.4119,              0.0009161,              0.0009161,              0.0009161
                     93,                0.66907,                0.41516,                 1.1246,                0.97934,                      1,                  0.995,                0.75735,                0.93454,                0.53236,                 1.3947,             0.00090785,             0.00090785,             0.00090785
                     94,                0.64564,                0.41376,                  1.125,                0.97825,                      1,                  0.995,                  0.715,                0.91501,                0.47034,                 1.3265,              0.0008996,              0.0008996,              0.0008996
                     95,                0.66806,                0.41409,                 1.1286,                0.97981,                      1,                  0.995,                0.71413,                0.91187,                0.47782,                 1.3132,             0.00089134,             0.00089134,             0.00089134
                     96,                0.64258,                0.40513,                 1.1356,                0.97816,                      1,                  0.995,                0.73703,                0.91907,                0.49838,                 1.2963,             0.00088309,             0.00088309,             0.00088309
                     97,                0.66046,                0.43452,                 1.1322,                0.97519,                      1,                  0.995,                0.72565,                0.95533,                0.53328,                 1.3532,             0.00087484,             0.00087484,             0.00087484
                     98,                0.63255,                0.40456,                 1.0866,                0.87485,                      1,                  0.995,                0.74231,                 1.0087,                0.59163,                 1.4382,             0.00086659,             0.00086659,             0.00086659
                     99,                0.67745,                0.42466,                 1.1269,                0.96275,                      1,                  0.995,                0.74618,                0.96466,                0.53526,                 1.3939,             0.00085834,             0.00085834,             0.00085834
                    100,                0.67336,                0.41113,                 1.1375,                0.98039,                      1,                  0.995,                0.71992,                0.93568,                0.49704,                 1.3283,             0.00085009,             0.00085009,             0.00085009
                    101,                 0.6698,                0.40859,                 1.1484,                0.98126,                      1,                  0.995,                0.69588,                0.97283,                0.47946,                 1.3474,             0.00084184,             0.00084184,             0.00084184
                    102,                0.65301,                0.39671,                 1.1028,                 0.9787,                      1,                  0.995,                 0.7114,                 1.0055,                0.48399,                 1.3645,             0.00083358,             0.00083358,             0.00083358
                    103,                0.62974,                0.39842,                 1.1002,                0.97675,                      1,                  0.995,                0.71853,                0.98699,                0.49163,                 1.3625,             0.00082533,             0.00082533,             0.00082533
                    104,                0.64283,                0.40462,                 1.0967,                0.97162,                      1,                  0.995,                 0.7115,                0.94242,                0.52016,                 1.3347,             0.00081708,             0.00081708,             0.00081708
                    105,                0.62421,                0.40062,                 1.1036,                0.96976,                      1,                  0.995,                0.71575,                0.92747,                0.51125,                 1.3325,             0.00080883,             0.00080883,             0.00080883
                    106,                0.65291,                0.39964,                  1.112,                0.97471,                      1,                  0.995,                0.72694,                0.97549,                0.50556,                 1.3781,             0.00080058,             0.00080058,             0.00080058
                    107,                0.64995,                0.39342,                 1.1049,                0.97725,                      1,                  0.995,                 0.7364,                 0.9883,                0.50047,                 1.3834,             0.00079233,             0.00079233,             0.00079233
                    108,                0.62473,                0.38738,                 1.0969,                0.97931,                      1,                  0.995,                0.75282,                0.97681,                0.47173,                 1.3813,             0.00078407,             0.00078407,             0.00078407
                    109,                0.64128,                0.40372,                 1.1286,                0.98047,                      1,                  0.995,                0.78287,                0.93085,                0.45852,                 1.3377,             0.00077582,             0.00077582,             0.00077582
                    110,                0.62693,                0.37568,                 1.1032,                0.98003,                      1,                  0.995,                0.79161,                0.86201,                0.44745,                 1.2715,             0.00076757,             0.00076757,             0.00076757
                    111,                0.64498,                0.40242,                 1.1191,                0.97925,                      1,                  0.995,                0.78684,                0.84952,                0.43269,                 1.2567,             0.00075932,             0.00075932,             0.00075932
                    112,                0.64992,                0.39382,                 1.0825,                0.97459,                      1,                  0.995,                0.75931,                0.86105,                0.46358,                 1.2651,             0.00075107,             0.00075107,             0.00075107
                    113,                0.59877,                0.37498,                  1.067,                0.95378,                      1,                  0.995,                0.76121,                0.86884,                0.46376,                 1.2724,             0.00074282,             0.00074282,             0.00074282
                    114,                0.65625,                0.38545,                  1.136,                0.96418,                      1,                  0.995,                0.77995,                  0.866,                0.47087,                 1.2772,             0.00073456,             0.00073456,             0.00073456
                    115,                0.63471,                0.38934,                 1.1037,                0.97584,                      1,                  0.995,                0.78415,                0.88855,                0.46266,                 1.2886,             0.00072631,             0.00072631,             0.00072631
                    116,                0.64273,                0.41564,                 1.1356,                0.97755,                      1,                  0.995,                0.74522,                0.90784,                0.44103,                  1.313,             0.00071806,             0.00071806,             0.00071806
                    117,                0.63716,                 0.3887,                 1.1089,                 0.9773,                      1,                  0.995,                0.74252,                0.88097,                0.45714,                 1.2983,             0.00070981,             0.00070981,             0.00070981
                    118,                0.63817,                0.38698,                 1.1089,                 0.9767,                      1,                  0.995,                0.76158,                 0.8482,                0.44446,                 1.2627,             0.00070156,             0.00070156,             0.00070156
                    119,                0.64278,                0.39508,                 1.1341,                0.97628,                      1,                  0.995,                0.74577,                0.86187,                0.43969,                 1.2677,             0.00069331,             0.00069331,             0.00069331
                    120,                0.62753,                0.38713,                  1.098,                0.97667,                      1,                  0.995,                0.73887,                 0.9334,                0.46742,                 1.2987,             0.00068505,             0.00068505,             0.00068505
                    121,                 0.5923,                 0.3797,                 1.0885,                0.97759,                      1,                  0.995,                0.74785,                0.95629,                0.48204,                 1.3046,              0.0006768,              0.0006768,              0.0006768
                    122,                0.60757,                 0.3773,                 1.0923,                0.97913,                      1,                  0.995,                0.73367,                0.93415,                0.46967,                 1.2875,             0.00066855,             0.00066855,             0.00066855
                    123,                0.62143,                 0.3874,                 1.1111,                0.97962,                      1,                  0.995,                0.75318,                0.91114,                0.45265,                 1.2776,              0.0006603,              0.0006603,              0.0006603
                    124,                 0.6078,                0.39791,                 1.1048,                0.97885,                      1,                  0.995,                0.74769,                0.92683,                0.45527,                 1.3116,             0.00065205,             0.00065205,             0.00065205
                    125,                0.63408,                0.39505,                  1.089,                0.97778,                      1,                  0.995,                0.72717,                 0.9374,                 0.4441,                 1.3335,              0.0006438,              0.0006438,              0.0006438
                    126,                 0.5903,                0.38909,                 1.0938,                0.97596,                      1,                  0.995,                0.71671,                0.94295,                0.45919,                 1.3358,             0.00063554,             0.00063554,             0.00063554
                    127,                0.62614,                0.37486,                 1.0942,                0.97513,                      1,                  0.995,                0.72286,                 0.9738,                0.46736,                 1.3575,             0.00062729,             0.00062729,             0.00062729
                    128,                0.59445,                0.38048,                 1.0737,                0.97521,                      1,                  0.995,                0.73508,                0.94874,                 0.4629,                 1.3155,             0.00061904,             0.00061904,             0.00061904
                    129,                0.59721,                0.37623,                 1.0896,                0.97644,                      1,                  0.995,                0.77236,                0.92114,                0.46415,                 1.2962,             0.00061079,             0.00061079,             0.00061079
                    130,                0.57629,                0.38451,                 1.0813,                0.97479,                      1,                  0.995,                0.74841,                0.91617,                0.41462,                 1.2986,             0.00060254,             0.00060254,             0.00060254
                    131,                0.59415,                0.38039,                  1.093,                0.97219,                      1,                  0.995,                0.74481,                0.90872,                0.39797,                 1.2908,             0.00059429,             0.00059429,             0.00059429
                    132,                0.57925,                0.37291,                 1.0576,                0.99456,                      1,                  0.995,                0.74139,                 0.9202,                0.41257,                 1.3032,             0.00058603,             0.00058603,             0.00058603
                    133,                0.62954,                0.38055,                 1.1013,                0.99478,                      1,                  0.995,                0.75571,                0.92219,                0.42776,                 1.3282,             0.00057778,             0.00057778,             0.00057778
                    134,                0.62374,                0.38307,                 1.0985,                0.99723,                      1,                  0.995,                0.78211,                0.91305,                0.45366,                 1.3452,             0.00056953,             0.00056953,             0.00056953
                    135,                0.59245,                0.38566,                 1.0724,                0.97768,                      1,                  0.995,                0.78066,                0.89961,                0.46973,                 1.3342,             0.00056128,             0.00056128,             0.00056128
                    136,                0.59919,                 0.3771,                 1.0884,                0.97877,                      1,                  0.995,                0.77151,                0.91816,                0.44748,                 1.3421,             0.00055303,             0.00055303,             0.00055303
                    137,                0.62157,                 0.3687,                 1.1118,                0.97939,                      1,                  0.995,                0.77566,                0.91883,                0.44582,                 1.3175,             0.00054478,             0.00054478,             0.00054478
                    138,                0.59526,                0.34851,                 1.0729,                 0.9786,                      1,                  0.995,                 0.7811,                0.88512,                0.42936,                 1.2845,             0.00053652,             0.00053652,             0.00053652
                    139,                0.57647,                0.35915,                 1.0709,                0.97848,                      1,                  0.995,                 0.7745,                0.88042,                  0.419,                 1.2815,             0.00052827,             0.00052827,             0.00052827
                    140,                0.58175,                0.36116,                 1.0768,                0.97828,                      1,                  0.995,                0.77691,                0.88316,                0.41893,                 1.2917,             0.00052002,             0.00052002,             0.00052002
                    141,                0.59857,                0.35818,                 1.0945,                0.97864,                      1,                  0.995,                0.76946,                0.89698,                0.41923,                 1.2985,             0.00051177,             0.00051177,             0.00051177
                    142,                0.63287,                0.39054,                  1.084,                 0.9798,                      1,                  0.995,                0.74736,                0.91175,                0.40363,                 1.2932,             0.00050352,             0.00050352,             0.00050352
                    143,                0.57704,                0.35869,                 1.0744,                0.97954,                      1,                  0.995,                0.75183,                0.90401,                0.40229,                 1.2724,             0.00049527,             0.00049527,             0.00049527
                    144,                 0.5915,                0.38663,                 1.0837,                0.97934,                      1,                  0.995,                0.77006,                 0.9006,                0.40905,                 1.2556,             0.00048701,             0.00048701,             0.00048701
                    145,                0.58414,                0.35516,                 1.0537,                0.97897,                      1,                  0.995,                0.74738,                0.88348,                0.40354,                   1.26,             0.00047876,             0.00047876,             0.00047876
                    146,                0.57563,                0.34502,                  1.072,                0.97823,                      1,                  0.995,                0.75753,                0.86225,                0.40703,                 1.2556,             0.00047051,             0.00047051,             0.00047051
                    147,                0.59662,                0.37305,                 1.0849,                0.97738,                      1,                  0.995,                0.75638,                0.86046,                0.41879,                 1.2494,             0.00046226,             0.00046226,             0.00046226
