                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.75406,                0.49375,                 1.1812,                 0.9279,                   0.95,                0.94576,                0.66662,                 1.1621,                0.61433,                 1.6781,              0.0015157,              0.0015157,              0.0015157
                     57,                 0.6957,                0.46553,                 1.1746,                0.92712,                   0.95,                0.93688,                0.66832,                 1.1643,                0.69281,                 1.6635,               0.001513,               0.001513,               0.001513
                     58,                0.75961,                0.46264,                  1.168,                0.92241,                   0.95,                0.92707,                0.61553,                  1.171,                0.69764,                 1.7109,              0.0015102,              0.0015102,              0.0015102
                     59,                  0.764,                0.46624,                 1.1952,                0.91655,                   0.95,                 0.9175,                0.65883,                  1.064,                0.60612,                 1.5675,              0.0015075,              0.0015075,              0.0015075
                     60,                0.70596,                0.43159,                 1.1757,                0.90347,                 0.9382,                0.92353,                0.69598,                0.94572,                0.54645,                 1.3572,              0.0015047,              0.0015047,              0.0015047
                     61,                0.71109,                0.46971,                 1.1657,                0.90852,                0.92685,                0.93325,                0.69674,                 0.9257,                0.56701,                 1.3601,               0.001502,               0.001502,               0.001502
                     62,                 0.7124,                0.44794,                 1.1565,                 0.9175,                0.94648,                0.90823,                0.69096,                  0.977,                0.54053,                 1.4317,              0.0014992,              0.0014992,              0.0014992
                     63,                0.71665,                0.43616,                 1.1574,                0.88719,                   0.95,                0.90753,                0.68158,                0.96787,                0.54208,                 1.4262,              0.0014965,              0.0014965,              0.0014965
                     64,                0.74559,                0.46837,                 1.1858,                0.90184,                   0.95,                0.95031,                0.70512,                0.97879,                0.52903,                  1.427,              0.0014937,              0.0014937,              0.0014937
                     65,                 0.7285,                0.45607,                  1.204,                0.93644,                   0.95,                0.95031,                0.71909,                0.94207,                0.49829,                 1.3901,               0.001491,               0.001491,               0.001491
                     66,                0.67515,                0.42337,                 1.1353,                0.92948,                   0.95,                0.95125,                0.69845,                0.98115,                0.51887,                 1.4135,              0.0014882,              0.0014882,              0.0014882
