                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.75766,                0.40656,                 1.0681,                0.98985,                      1,                  0.995,                0.76668,                 0.8707,                0.42812,                 1.1574,              0.0012874,              0.0012874,              0.0012874
                     48,                0.76105,                0.40344,                 1.0475,                0.98751,                      1,                  0.995,                0.75772,                 0.8734,                0.40388,                 1.1565,              0.0012792,              0.0012792,              0.0012792
                     49,                0.75869,                0.39039,                  1.048,                0.98685,                      1,                  0.995,                0.75589,                0.89604,                0.40153,                 1.1704,              0.0012709,              0.0012709,              0.0012709
                     50,                0.75512,                0.38841,                 1.0725,                0.98617,                      1,                  0.995,                0.78493,                0.87718,                0.40459,                 1.1735,              0.0012627,              0.0012627,              0.0012627
                     51,                0.75625,                0.39152,                 1.0719,                0.98607,                      1,                  0.995,                 0.8006,                0.87698,                0.38997,                 1.1669,              0.0012544,              0.0012544,              0.0012544
                     52,                0.75279,                0.40166,                 1.0596,                0.98156,                      1,                  0.995,                0.77678,                  0.847,                0.38254,                 1.1522,              0.0012462,              0.0012462,              0.0012462
                     53,                0.74505,                0.39657,                 1.0611,                0.97873,                      1,                  0.995,                0.78255,                0.81854,                0.40958,                 1.1413,              0.0012379,              0.0012379,              0.0012379
                     54,                0.76531,                0.38317,                 1.0818,                0.97028,                      1,                  0.995,                0.78136,                0.86165,                0.39894,                 1.1635,              0.0012297,              0.0012297,              0.0012297
                     55,                0.74031,                0.38154,                 1.0435,                0.97568,                      1,                  0.995,                0.77676,                 0.8558,                 0.4069,                  1.149,              0.0012214,              0.0012214,              0.0012214
                     56,                0.77545,                0.39282,                 1.0925,                0.96358,                      1,                  0.995,                0.76952,                0.89276,                0.40204,                 1.1698,              0.0012132,              0.0012132,              0.0012132
                     57,                0.74479,                0.38283,                 1.0656,                0.96113,                      1,                  0.995,                0.76876,                0.90364,                0.40346,                 1.1865,              0.0012049,              0.0012049,              0.0012049
                     58,                0.72913,                0.38298,                 1.0475,                0.94951,                      1,                  0.995,                0.77691,                0.89926,                0.42784,                 1.1816,              0.0011967,              0.0011967,              0.0011967
                     59,                0.72186,                0.38409,                 1.0444,                0.95775,                      1,                  0.995,                 0.7867,                0.85926,                 0.4216,                 1.1473,              0.0011884,              0.0011884,              0.0011884
                     60,                0.73445,                0.37297,                  1.059,                0.93683,                      1,                  0.995,                0.79659,                0.80709,                0.40385,                 1.1284,              0.0011802,              0.0011802,              0.0011802
                     61,                0.75477,                0.37759,                 1.0417,                0.93779,                      1,                  0.995,                0.77756,                0.85446,                0.43712,                 1.1814,              0.0011719,              0.0011719,              0.0011719
                     62,                 0.7682,                0.39633,                 1.0752,                0.96268,                      1,                  0.995,                0.77708,                0.81088,                0.40304,                 1.1287,              0.0011636,              0.0011636,              0.0011636
                     63,                 0.7262,                0.37258,                 1.0549,                0.96567,                      1,                  0.995,                0.76165,                0.92388,                0.40899,                 1.2126,              0.0011554,              0.0011554,              0.0011554
                     64,                0.74533,                0.37607,                 1.0349,                0.95158,                      1,                  0.995,                0.78095,                0.86078,                0.44152,                 1.1551,              0.0011471,              0.0011471,              0.0011471
                     65,                0.73464,                0.37353,                 1.0488,                0.96277,                      1,                  0.995,                0.78463,                 0.9255,                0.45831,                 1.1863,              0.0011389,              0.0011389,              0.0011389
                     66,                0.73164,                0.36956,                 1.0386,                0.97852,                      1,                  0.995,                0.77927,                0.87355,                0.41736,                 1.1591,              0.0011306,              0.0011306,              0.0011306
                     67,                0.75265,                0.38522,                 1.0714,                0.97769,                      1,                  0.995,                 0.8005,                 0.8441,                0.39314,                 1.1387,              0.0011224,              0.0011224,              0.0011224
                     68,                0.74124,                0.37769,                 1.0607,                0.97371,                      1,                  0.995,                0.80509,                0.83855,                0.37572,                 1.1461,              0.0011141,              0.0011141,              0.0011141
                     69,                0.71519,                0.36972,                 1.0611,                0.97906,                      1,                  0.995,                0.78324,                0.86485,                 0.3854,                 1.1716,              0.0011059,              0.0011059,              0.0011059
                     70,                0.73503,                0.37438,                 1.0502,                0.97514,                      1,                  0.995,                0.77073,                0.86792,                0.40158,                 1.1745,              0.0010976,              0.0010976,              0.0010976
                     71,                0.70738,                0.36665,                 1.0333,                0.97048,                      1,                  0.995,                0.79052,                0.82681,                0.38527,                 1.1402,              0.0010894,              0.0010894,              0.0010894
                     72,                0.71006,                0.35667,                 1.0461,                0.97612,                      1,                  0.995,                0.78894,                0.86537,                0.39206,                 1.1512,              0.0010811,              0.0010811,              0.0010811
                     73,                0.68671,                0.36156,                 1.0341,                0.97815,                      1,                  0.995,                  0.776,                0.83238,                0.37575,                 1.1325,              0.0010729,              0.0010729,              0.0010729
                     74,                0.70464,                 0.3622,                  1.028,                0.98195,                      1,                  0.995,                0.76881,                0.83867,                0.37977,                  1.141,              0.0010646,              0.0010646,              0.0010646
                     75,                0.73664,                0.37443,                 1.0494,                0.98146,                      1,                  0.995,                0.77672,                0.79989,                 0.3634,                 1.1333,              0.0010564,              0.0010564,              0.0010564
                     76,                 0.7215,                0.35311,                 1.0568,                0.97909,                      1,                  0.995,                 0.7868,                0.83088,                0.36646,                 1.1322,              0.0010481,              0.0010481,              0.0010481
                     77,                0.73837,                0.36344,                 1.0689,                0.98033,                      1,                  0.995,                0.79482,                0.81501,                0.35739,                 1.1232,              0.0010399,              0.0010399,              0.0010399
                     78,                0.72139,                0.35691,                 1.0495,                0.98116,                      1,                  0.995,                0.79153,                0.79671,                0.35981,                 1.1297,              0.0010316,              0.0010316,              0.0010316
                     79,                0.72055,                0.36226,                 1.0541,                0.98127,                      1,                  0.995,                0.77502,                0.84881,                0.36827,                 1.1497,              0.0010234,              0.0010234,              0.0010234
                     80,                0.74352,                 0.3731,                  1.051,                0.98353,                      1,                  0.995,                0.75622,                0.94988,                0.39857,                 1.2129,              0.0010151,              0.0010151,              0.0010151
                     81,                0.72857,                0.35702,                 1.0342,                0.98589,                      1,                  0.995,                0.78283,                0.84977,                0.37139,                 1.1509,              0.0010069,              0.0010069,              0.0010069
                     82,                 0.7254,                0.35338,                 1.0584,                0.98751,                      1,                  0.995,                0.78256,                0.80462,                0.36807,                 1.1381,             0.00099862,             0.00099862,             0.00099862
                     83,                  0.688,                0.33474,                 1.0293,                0.98545,                      1,                  0.995,                0.77404,                 0.7894,                0.34244,                  1.118,             0.00099036,             0.00099036,             0.00099036
                     84,                0.71074,                0.35767,                 1.0583,                0.98536,                      1,                  0.995,                0.78261,                0.85859,                0.36533,                 1.1429,             0.00098211,             0.00098211,             0.00098211
                     85,                0.72088,                0.36472,                 1.0387,                0.98544,                      1,                  0.995,                0.80299,                0.86405,                0.37674,                 1.1403,             0.00097386,             0.00097386,             0.00097386
                     86,                0.73493,                0.36809,                  1.069,                0.98683,                      1,                  0.995,                0.77228,                0.82018,                0.36223,                 1.1189,             0.00096561,             0.00096561,             0.00096561
                     87,                0.73463,                0.35325,                 1.0462,                0.98794,                      1,                  0.995,                0.77985,                 0.8359,                0.35298,                 1.1358,             0.00095736,             0.00095736,             0.00095736
                     88,                  0.706,                0.35658,                 1.0212,                 0.9846,                      1,                  0.995,                0.78343,                0.87236,                0.37336,                 1.1663,             0.00094911,             0.00094911,             0.00094911
                     89,                0.71022,                0.35417,                 1.0192,                0.98242,                      1,                  0.995,                0.78626,                0.87636,                0.36742,                 1.1897,             0.00094085,             0.00094085,             0.00094085
                     90,                0.70705,                0.34638,                 1.0414,                0.98103,                      1,                  0.995,                0.77819,                0.84715,                0.36038,                 1.1709,              0.0009326,              0.0009326,              0.0009326
                     91,                0.73921,                0.35243,                 1.0409,                0.98058,                      1,                  0.995,                0.77997,                0.87151,                0.38159,                 1.1701,             0.00092435,             0.00092435,             0.00092435
